product_id,naam,slug,merk,categorie,prijs,adviesprijs,voorraad,beoordelingen,beschikbaarheid,afbeelding_url,bron_url,korte_omschrijving,volledige_titel
9300000340563303,Airstyler Krultang 5 in 1,besjaar-airstyler-krultang-5-in-1,Besjaar,Persoonlijke verzorging,49.99,,25,2,Op voorraad,https://media.s-bol.com/mJVl3q59k08O/1WQ1NRG/550x563.jpg,https://www.bol.com/nl/nl/p/besjaar-airstyler-krultang-5-in-1-multistyler-fohnborstel-5-in-1-multi-styler-2026-model-stijltang-hairwrap-haardroger-met-borstel-wit-goud-met-handshonen/9300000340563303/,Multistyler Föhnborstel · 5 in 1 multi styler · 2026 model,Besjaar Airstyler Krultang 5 in 1 - Multistyler Föhnborstel - 5 in 1 multi styler- 2026 model - Stijltang - Hairwrap - Haardroger met Borstel - Wit/Goud met handshonen
9300000340644974,Massage Gun,rynex-massage-gun,RYNEX,Persoonlijke verzorging,19.99,29.99,25,0,Op voorraad,https://media.s-bol.com/oL0Bz1A5kDZ3/K19zmEM/550x552.jpg,https://www.bol.com/nl/nl/p/massage-gun-mini-professioneel-massage-apparaat-massageapparaat-massagegun-massage-pistool-zwart-rynex/9300000340644974/,6 snelheden · 4 opzetstukken · Opbergkoffer,Rynex Massage Gun - 6 snelheden - 4 opzetstukken - Opbergkoffer
9300000340550774,Multistyler,besjaar-multistyler,Besjaar,Persoonlijke verzorging,49.99,,25,2,Op voorraad,https://media.s-bol.com/mJVL172LZWZO/wVRWD9X/550x556.jpg,https://www.bol.com/nl/nl/p/besjaar-multistyler-airstyler-fohnborstels-krulborstel-krultang-5-in-1-krultang-stijltang-hairwrap-haardroger-met-borstel-nieuwe-versie-2026/9300000340550774/,airstyler · fohnborstels · krulborstel,Besjaar multistyler - airstyler - fohnborstels - krulborstel - krultang 5 in 1 - krultang -stijltang - hairwrap - Haardroger met Borstel - Nieuwe Versie 2026
9300000285211786,Neusstrips,rynex-neusstrips,RYNEX,Persoonlijke verzorging,19.99,,25,0,Op voorraad,https://media.s-bol.com/qv0BOkBgJRP2/voMgVWV/550x621.jpg,https://www.bol.com/nl/nl/p/neusstrips-30-stuks-anti-snurk-pleisters-neusspreider-beter-slapen-anti-snurk-rynex/9300000285211786/,30 Stuks · Anti Snurk Pleisters · Neusspreider,Neusstrips - 30 Stuks - Anti Snurk Pleisters - Neusspreider - Beter Slapen - Anti Snurk - Rynex
9300000283815777,Pimple Patch,rynex-pimple-patch,RYNEX,Persoonlijke verzorging,11.99,,25,1,Op voorraad,https://media.s-bol.com/B509LqzW7nZY/W7EBMAQ/550x559.jpg,https://www.bol.com/nl/nl/p/pimple-patch-acne-hyrdocolloid-puisten-verwijderaar-sticker-144-stuks-rynex/9300000283815777/,Acne · Hyrdocolloid · Puisten Verwijderaar,Pimple Patch - Acne - Hyrdocolloid - Puisten Verwijderaar - Sticker - 144 stuks - Rynex
9300000236952554,Thermal Brush,lynex-thermal-brush,LYNEX,Persoonlijke verzorging,36.99,39.99,25,8,Op voorraad,https://media.s-bol.com/w44rqPL5LLNM/2RgozJK/550x567.jpg,https://www.bol.com/nl/nl/p/lynex-thermal-brush-keramische-warmteborstel-airstyler-haardroger-fohnborstel-en-airstyler-alternatief-krulborstel-en-stijlborstel-in-1-krultang/9300000236952554/,Keramische Warmteborstel · Airstyler · Haardroger,LYNEX Thermal Brush - Keramische Warmteborstel - Airstyler - Haardroger - Fohnborstel en Airstyler Alternatief - Krulborstel en Stijlborstel in 1 - Krultang
9300000224540054,Sigarettendoosje – Zilver,besjaar-sigarettendoosje-zilver,Besjaar,Lifestyle & Accessoires,9.99,,25,33,Op voorraad,https://media.s-bol.com/x4BzYw1G2QO9/y8mDPKR/511x840.jpg,https://www.bol.com/nl/nl/p/besjaar-sigarettendoosje-zwart-aluminium-sigarettenhouder-weerbestendig-stevige-en-luxe-sigarettendoosjes/9300000224540054/,Zilver · Aluminium · Sigarettenhouder,Besjaar Sigarettendoosje - Zilver - Aluminium - Sigarettenhouder - Weerbestendig - Stevige en Luxe Sigarettendoosjes
9300000235047850,Sigarettendoosjes met Aansteker,besjaar-sigarettendoosjes-met-aansteker,Besjaar,Lifestyle & Accessoires,15.99,,25,23,Op voorraad,https://media.s-bol.com/RA4pjoDn16AL/58zjvLq/550x610.jpg,https://www.bol.com/nl/nl/p/sigarettenhouder-sigaretten-box-sigaretten-doosje-met-aansteker-sigaretten-opbergdoosje-sigaretten-doosje-20-stuks-sigaretten-koker-sigaretten-doosje-metaal-sigaretten-doosje-zwart-sigaretten-etui-focus-usb-kabel/9300000235047850/,Sigaretten Box · Aluminium · Weerbestendig,Besjaar Sigarettendoosjes met aansteker - Sigaretten Box - Aluminium - Weerbestendig - Stevig en Luxe
9300000137068350,Sigarettendoosjes met Aansteker – Goud,besjaar-sigarettendoosjes-met-aansteker-goud,Besjaar,Lifestyle & Accessoires,15.99,,25,23,Op voorraad,https://media.s-bol.com/qBPg5pAjNWwD/g59vqq6/550x606.jpg,https://www.bol.com/nl/nl/p/sigarettenhouder-sigaretten-box-sigaretten-doosje-met-aansteker-sigaretten-opbergdoosje-sigaretten-doosje-20-stuks-sigaretten-koker-sigaretten-doosje-metaal-sigaretten-doosje-zilver-sigaretten-etui-focus-usb-kabul/9300000137068350/,Sigaretten Box · Aluminium · Weerbestendig,Besjaar Sigarettendoosjes met aansteker - Sigaretten Box - Aluminium - Weerbestendig - Stevig en Luxe - Goud
9300000134556458,Sigarettendoosjes met Aansteker – Zilver,besjaar-sigarettendoosjes-met-aansteker-zilver,Besjaar,Lifestyle & Accessoires,15.99,,25,23,Op voorraad,https://media.s-bol.com/mxL1nnREB500/r0lKGAW/550x610.jpg,https://www.bol.com/nl/nl/p/sigarettenhouder-sigaretten-box-sigaretten-doosje-met-aansteker-sigaretten-opbergdoosje-sigaretten-doosje-20-stuks-sigaretten-koker-sigaretten-doosje-metaal-sigaretten-doosje-zilver-sigaretten-etui-focus-usb-kabul/9300000134556458/,Sigaretten Box · Aluminium · Weerbestendig,Besjaar Sigarettendoosjes met aansteker - Sigaretten Box - Aluminium - Weerbestendig - Stevig en Luxe - Zilver
9300000235049605,Sigarettendoosjes – Goud,besjaar-sigarettendoosjes-goud,Besjaar,Lifestyle & Accessoires,9.99,,25,33,Op voorraad,https://media.s-bol.com/NA2KzrVvp8Mz/k5olQvv/524x840.jpg,https://www.bol.com/nl/nl/p/besjaar-sigarettendoosjes-sigarettenhouder-sigaretten-box-goud-aluminium-weerbestendig-stevig-en-luxe/9300000235049605/,Sigarettenhouder · Sigaretten Box · Goud,Besjaar Sigarettendoosjes - Sigarettenhouder - Sigaretten Box - Goud- Aluminium - Weerbestendig - Stevig en Luxe
9300000187838168,Sigarettendoosjes – Zwart,besjaar-sigarettendoosjes-zwart,Besjaar,Lifestyle & Accessoires,9.99,,25,33,Op voorraad,https://media.s-bol.com/x4BzQr6O0wQB/Mj92jlA/536x840.jpg,https://www.bol.com/nl/nl/p/besjaar-sigarettendoosjes-sigarettenhouder-met-aansteker-sigaretten-box-zwart-aluminium-weerbestendig-stevig-en-luxe/9300000187838168/,Sigaretten Box · Aluminium · Weerbestendig,Besjaar Sigarettendoosjes - Sigaretten Box - Aluminium - Weerbestendig - Stevig en Luxe - Zwart
